F3,FZ,F4,FCZ,C3,Cz,C4,P3,Pz,P4,PO7,POz,PO8,O1,Oz,O2,LABEL,
187500,187500,187500,43121.54,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21657,
187500,187500,187500,43188.84,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21658,
187500,187500,187500,42935.82,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21659,
187500,187500,187500,42716.51,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21660,
187500,187500,187500,41774.92,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21661,
187500,187500,187500,40709.81,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21662,
187500,187500,187500,40054.8,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21663,
187500,187500,187500,38803.77,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21664,
187500,187500,187500,37634.55,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21665,
187500,187500,187500,36825.37,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21666,
187500,187500,187500,36197.22,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21667,
187500,187500,187500,36092.17,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21668,
187500,187500,187500,36475.88,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21669,
187500,187500,187500,37140.69,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21670,
187500,187500,187500,31008.42,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,21671,
-3757.038,-5705.395,-2458.156,5869.367,-5409.346,-7544.407,-4884.214,-7665.307,0,0,0,0,0,0,0,0,0,21672,
-187500,-187500,-187500,-1393.587,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21673,
-187500,-187500,-187500,-906.0056,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21674,
-187500,-187500,-187500,142.6935,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21675,
-187500,-187500,-187500,941.8578,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21676,
-187500,-187500,-187500,1552.865,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21677,
-187500,-187500,-187500,1637.109,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21678,
-187500,-187500,-187500,1361.154,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21679,
-187500,-187500,-187500,1130.194,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21680,
-187500,-187500,-187500,199.6234,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21681,
-187500,-187500,-187500,-895.545,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21682,
-187500,-187500,-187500,-1575.44,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21683,
-187500,-187500,-187500,-2790.951,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21684,
-187500,-187500,-187500,-4023.604,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21685,
-187500,-187500,-187500,-4835.666,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21686,
-187500,-187500,-187500,-5492.405,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21687,
-187500,-187500,-187500,-5623.207,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21688,
-187500,-187500,-187500,-5264.193,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21689,
-187500,-187500,-187500,-4608.282,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21690,
-187500,-187500,-187500,-4388.184,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21691,
-187500,-187500,-187500,-3610.947,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21692,
-187500,-187500,-187500,-2663.031,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21693,
-187500,-187500,-187500,-1382.992,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,21694,
